Respondents,Response.Date,Responses,Age
118,May 27 2020 08:38 PM,It’s gross and unhealthy,72
119,May 27 2020 08:36 PM,"The American public is, for the most part, a mass of biased, and poorly educated, pink monkeys who will chatter at whatever the newest fad crosses their limited horizons.",69
120,May 27 2020 08:35 PM,that they don't take care of themselves,68
121,May 27 2020 08:35 PM,They think they are lazy and disgusting,53
122,May 27 2020 08:35 PM,I feel that the American public thinks that those who are obese pretty much just sit around and eat and play video games all day with no exercise.,21
123,May 27 2020 08:34 PM,That they have a problem,56
124,May 27 2020 08:34 PM,Fat no control not healthy,70
125,May 27 2020 08:33 PM,Appearance,60
126,May 27 2020 08:32 PM,"It thinks obese people are lazy, stupid, and gross.",55
127,May 27 2020 08:31 PM,More tolerance because there are more over weight/obesity in the entertainment industry,22
128,May 27 2020 08:28 PM,who cares,32
129,May 27 2020 08:27 PM,That they have no self control.,70
130,May 27 2020 08:27 PM,Lazy,48
131,May 27 2020 08:26 PM,Not disciplined.,33
132,May 27 2020 08:25 PM,they think very poorly of them,18
133,May 27 2020 08:22 PM,Lazy and unmotivated to eat better,65
134,May 27 2020 08:21 PM,they discriminate against them,43
135,May 27 2020 08:21 PM,"Most people think those with obesity should control their eating when, in my opinion, they aren't all able to lose weight on their own without help. Some people are too judgemental.",71
136,May 27 2020 08:18 PM,They are disgusted with obese people,48
137,May 27 2020 08:18 PM,Bias,63
138,May 27 2020 08:17 PM,"They think that you just over indulge and you can quit anytime you want to, you make poor choices.",45
139,May 27 2020 08:16 PM,Not as much these days as previous years.,29
140,May 27 2020 08:16 PM,I can’t speak for the American public. I’d say a good majority of them are obese.,57
141,May 27 2020 08:15 PM,"""Lazy slobs"" is the term I've most often heard.",37
142,May 27 2020 08:13 PM,Mixed.  Some people understand it’s not always a matter of self control. Others think it is a sign of weakness/lack of discipline ,60
143,May 27 2020 08:11 PM,they degrade them and not understand how they got were they are,67
144,May 27 2020 08:09 PM,They are lazy ,56
145,May 27 2020 08:08 PM,hgfd,60
146,May 27 2020 08:08 PM,They think something is wrong with them.,50
147,May 27 2020 08:04 PM,They look down on people even if they are 5 lbs over weight.,70
148,May 27 2020 08:04 PM,It’s a Health problem in our society,35
149,May 27 2020 08:03 PM,theyre gross,38
150,May 27 2020 08:02 PM,society wants you to he slim,54
151,May 27 2020 08:02 PM,It's a lifestyle,36
152,May 27 2020 08:01 PM,They make fun of them.,29
153,May 27 2020 07:55 PM,that they are unhealthy in their eating habits,59
154,May 27 2020 07:55 PM,They are are at fault for their weight,51
155,May 27 2020 07:55 PM,That they are unattractive and lazy,58
156,May 27 2020 07:52 PM,yes,68
157,May 27 2020 07:52 PM,Unsure,34
158,May 27 2020 07:52 PM,They should lose weight for their own health.,63
159,May 27 2020 07:52 PM,"That it always that person’s fault, they should eat less & exercise more",49
160,May 27 2020 07:52 PM,I think they just think that we want to keep eating and not doing nothing about it,43
161,May 27 2020 07:51 PM,There is a low opinion yet obesity is becoming a greater issue.,62
162,May 27 2020 07:49 PM,they love it,61
163,May 27 2020 07:49 PM,Not sure,34
164,May 27 2020 07:47 PM,The public tends tends to both sneer at and excuse obesity at the same time.,24
165,May 27 2020 07:47 PM,Nothing specific,31
166,May 27 2020 07:45 PM,Na,58
167,May 27 2020 07:44 PM,That they are unhealthy and unattractive,69
168,May 27 2020 07:42 PM,none,37
169,May 27 2020 07:42 PM,"That overweight people are unattractive, lazy, lack initiative, unhealthy",47
170,May 27 2020 07:41 PM,n/a,74
171,May 27 2020 07:41 PM,jsnxdjdjdjdjddd,40
172,May 27 2020 07:40 PM,They are lazy and not motivated to exercise,29
173,May 27 2020 07:38 PM,very not okay,29
174,May 27 2020 07:38 PM,They think it is all the overweight persons fault. They don’t think about medical conditions,73
175,May 27 2020 07:37 PM,they don't like them but then become obese themselves.,63
176,May 27 2020 07:37 PM,That they are less than human ,38
177,May 27 2020 07:37 PM,Bad,66
178,May 27 2020 07:34 PM,"The American public frowns on obesity. Some people that are obese is by choice, but the majority is due to health issues like diabetes.",63
179,May 27 2020 07:33 PM,lazy and disgusting,50
180,May 27 2020 07:33 PM,I think the public like to make fun of fat people and embarass them. I feel like the public doesn't like fat people and think they are nasty and ugly.,56
181,May 27 2020 07:31 PM,I believe they are looked down upon.,26
182,May 27 2020 07:30 PM,Not will liked,65
183,May 27 2020 07:30 PM,N/A,48
184,May 27 2020 07:27 PM,They feel the people with obesity are lazy,39
185,May 27 2020 07:26 PM,They discriminate against them,57
186,May 27 2020 07:26 PM,Low opinion ,38
187,May 27 2020 07:25 PM,most participate.,20
188,May 27 2020 07:24 PM,They think it’s a lack of self control,47
189,May 27 2020 07:23 PM,American public is very nosy about everything. Obesity of a person is one thing that people should quit being nosy. There are many reasons why a person can be overweight or even underweight. Sometimes a person can control and other times they cannot control.,65
190,May 27 2020 07:22 PM,they discriminate,56
191,May 27 2020 07:20 PM,they think we're lazy and dirty,46
192,May 27 2020 07:19 PM,Obesity is just someone who eats too much.,69
193,May 27 2020 07:17 PM,They need to lose weight,47
194,May 27 2020 07:16 PM,They have a disease and should help themselves by exercising and eating right,25
195,May 27 2020 07:16 PM,Qowkejeirie,51
196,May 27 2020 07:14 PM,very negativity,55
197,May 27 2020 07:12 PM,they are sick,72
198,May 27 2020 07:12 PM,I don't know,38
199,May 27 2020 07:12 PM,Frown upon or make fun of,75
200,May 27 2020 07:11 PM,They think it’s ok and disregard medical facts. Under or over weight is a medical problem and bad for health,57
201,May 27 2020 07:10 PM,Sympathizes,67
202,May 27 2020 07:09 PM,"Not good enough 
Feel like they are ugly",60
203,May 27 2020 07:08 PM,I think that they feel sad and concerned about their quality of life especially as the get older experiencing many health relayed problems.,66
204,May 27 2020 07:06 PM,Negative reactions,33
205,May 27 2020 07:04 PM,I think most think its awful that people with it are fat and gross .,71
206,May 27 2020 07:03 PM,It’s frustrating to see people being made fun of because of their weight. It’s the same as everything else - it’s no one else’s business,44
207,May 27 2020 07:01 PM,Yes.,47
208,May 27 2020 07:01 PM,"It varies in my opinion. Some people have a downright rude, nasty negative opinion. Others hold no negative opinion.",39
209,May 27 2020 07:01 PM,Idk,19
210,May 27 2020 07:00 PM,they are not serious about the issue need to be educated,58
211,May 27 2020 07:00 PM,That obesity was their choice ,38
212,May 27 2020 06:59 PM,They saw them like an inferior human in the society,61
213,May 27 2020 06:59 PM,Quite a divided picture.  Thinness is seemingly valorized but industry and common dietary practices contribute to poor choices that lead the majority of the population toward an inverse outcome from that idealized.,36
214,May 27 2020 06:58 PM,They think negatively. Think they are lazy.,64
215,May 27 2020 06:58 PM,That it's all about as lack of self control,27
216,May 27 2020 06:57 PM,They’re weak,28
217,May 27 2020 06:57 PM,They are unattractive,40
218,May 27 2020 06:57 PM,I think the majority of people think that all people who are overweight are because they eat more than they should.,50
219,May 27 2020 06:56 PM,no opinion,62
220,May 27 2020 06:56 PM,They will die easily and more quickly than thin person.,68
221,May 27 2020 06:56 PM,They are made fun of.,51
222,May 27 2020 06:56 PM,That it is a self control issue.,21
223,May 27 2020 06:55 PM,"lazy, poor, slovenly, anything mean",59
224,May 27 2020 06:55 PM,Yes,41
225,May 27 2020 06:55 PM,"Unhealthy, lazy slobs who can't do anything active.",24
226,May 27 2020 06:55 PM,They treat them as less of a human than them or often not even human at all because of being overweight. It affects every area of your life if you are the person even slightly overweight,50
227,May 27 2020 06:55 PM,They think that they are horrible people,26
228,May 27 2020 06:55 PM,They think it isn’t a disease and that those people are ugly.,19
229,May 27 2020 06:55 PM,They make fun of people who are obese,37
230,May 27 2020 06:55 PM,That they eat a lot,65
231,May 27 2020 06:55 PM,That obesity is shameful and the fault of the person.,61
232,May 27 2020 06:55 PM,"That it is common due to our culture. lifestyle, and eating habits, and that it is personal decisions that cause it.",74
233,May 27 2020 06:55 PM,Obese people are lazy and sloppy.,28
234,May 27 2020 06:55 PM,It’s strictly a result of overeating and laziness. Sometimes there can be an overarching factor such as mental health.,39
235,May 27 2020 06:55 PM,I don’t know,67
236,May 27 2020 06:55 PM,Gfdghhgddd,63
237,May 27 2020 06:54 PM,"weak, no self-control, not as smart",60
238,May 27 2020 06:54 PM,they do it to them selfs over eating,65
239,May 27 2020 06:54 PM,they are often offended or disgusted,53
240,May 27 2020 06:54 PM,the public is very quick to judge obesity without know why or asking if they need help. they assume they are lazy or dirty.,73
241,May 27 2020 06:54 PM,that they’re lazy,51
242,May 27 2020 06:54 PM,Yes,61
243,May 27 2020 06:54 PM,They feel as if they’re disgusting or other mean words which is not true.,70
244,May 27 2020 06:54 PM,"That overweight people are lazy, unmotivated, and lack control",50
245,May 27 2020 06:54 PM,That being obese is a disease brought on by poor diet,32
246,May 27 2020 06:54 PM,Negatively,42
247,May 27 2020 06:54 PM,Most people that are thin think overweight people are all lazy or eat unhealthy.,64
248,May 27 2020 06:54 PM,"I think that the public thinks that overweight people are very unhealthy, they don’t eat right, and that they possibly might not care about how they look.",60
249,May 27 2020 06:54 PM,I think that the American and other public judges people because of their weight without knowing what that period on is going through. In my opinion this should stop because this can lead to people having suicidal thoughts and or depression.,75
250,May 27 2020 06:54 PM,"I think that people who are obese are though of as slobs, they have no self control, they are lazy, frumpy, and they just sit and eat all day. People who are skinny don’t want to be friends with fat people because they think they will also get fat.",19
251,May 27 2020 06:54 PM,I think many people think is a choice but don't take the time to think there are health conditions that can lead to gain weight,71
252,May 27 2020 06:54 PM,I feel they look down on them.,59
253,May 27 2020 06:54 PM,"Fat, lazy, slobs",54
254,May 27 2020 06:54 PM,Can’t control how much they eat,49
255,May 27 2020 06:54 PM,Blame,68
256,May 27 2020 06:53 PM,they think its disgusting,46
257,May 27 2020 06:53 PM,really anti-fat. obese people are looked at as being disgusting and they're unwanted.,42
258,May 27 2020 06:53 PM,it's their fault and society is obsessed with fast food,54
259,May 27 2020 06:53 PM,"Vast majority likes to judge others weight before worrying about their own. In general, they view them as a victim of an epidemic until they get to a certain size - then they are scorned.",48
260,May 27 2020 06:53 PM,They typically judge and often assume it is due to laziness.,71
261,May 27 2020 06:53 PM,They think is  sickness,37
262,May 27 2020 06:53 PM,That you over eat and sugar is not an addiction,67
263,May 27 2020 06:53 PM,People think that obese individuals weigh too much because they overeat and are lazy.,68
264,May 27 2020 06:53 PM,"People make the choice to eat & overeat. The failure of healthcare professionals to give proper guidance & parents failure to give children home cooked meals, allowing kids to drink sodas, eat junk food, fast food, candy, and failure to make kids exercise is a signatory cause. Both of my parents worked full time. But we had meals at home, no junk food, no desserts, no soda except for special occasions. In the 1960s & 70s there was usually only one fat mid in the class. Frankly, I blame political correctness for problems. Doctors, schools, public health officials worry about fat / body shaming instead of telling obese people to get healthy. I’ve been overweight. I’ve had bulimia & anorexia. But I blame nobody. The key is to eat less & exercise more. My brother was told he had to lose 60 pounds before he could undergo surgery for a knee replacement. He changed his diet & lost 70 pounds. Very few obese people have thyroid excuses. ",68
265,May 27 2020 06:53 PM,None,22
266,May 27 2020 06:53 PM,No,71
267,May 27 2020 06:53 PM,Many look down on people who are obese and see them as unattractive.,20
268,May 27 2020 06:53 PM,I don't know,23
269,May 27 2020 06:53 PM,Good,62
270,May 27 2020 06:53 PM,"Don’t care about themselves, lazy",51
271,May 27 2020 06:53 PM,A little bias,22
272,May 27 2020 06:52 PM,na,75
273,May 27 2020 06:52 PM,"i think most dont have an opinion, but i feel that some believe they are irresponsible or dumb.",21
274,May 27 2020 06:52 PM,hii,25
275,May 27 2020 06:52 PM,Yes,26
276,May 27 2020 06:52 PM,Yea probably,59
277,May 27 2020 06:52 PM,"They are thought to be lazy, unmotivated, unattractive, and lacking control.",39
278,May 27 2020 06:52 PM,"The lack of control in the fda that allows addictive, fattening substances into our food is an issue",47
279,May 27 2020 06:52 PM,That they eat too much junk food,73
280,May 27 2020 06:52 PM,That they are nasty and lazy,32
281,May 27 2020 06:52 PM,That they are lazy,71
282,May 27 2020 06:52 PM,Some do believe it’s important to think about your body’s health and others really don’t care about what you put in your body.,57
283,May 27 2020 06:52 PM,Obesity = lazy,65
284,May 27 2020 06:52 PM,Hmmm,44
285,May 27 2020 06:52 PM,American public think fat people are gross,55
286,May 27 2020 06:51 PM,"Most Americans look at it negativity, even though the US is a very obese Nation.",20
287,May 27 2020 06:51 PM,I think they do not overthink about obesity,67
288,May 27 2020 06:50 PM,Seem to think they’re lazy and or glutenus,23
289,May 27 2020 06:50 PM,People view obesity as being lazy and eating uncontrollably and if a person does not look a certain way they should be shamed.,63
290,May 27 2020 06:48 PM,ugly,63
291,May 27 2020 06:48 PM,Yes I think they are blaming them too much because it’s not always in control of the person sometimes they are trying but it doesn’t work and some people have to try harder than others.,29
292,May 27 2020 06:48 PM,Lazy,61
293,May 27 2020 06:47 PM,u think it is heavily stigmatized,21
294,May 27 2020 06:47 PM,That they are lazy,60
295,May 27 2020 06:47 PM,"Eat wrong foods, illness, depression,medicines,unmotivated or unable to get assistance or help",38
296,May 27 2020 06:45 PM,look down on them,59
297,May 27 2020 06:45 PM,I don’t know,62
298,May 27 2020 06:43 PM,Obesity is becoming more widely accepted in America due to the increasing prevalence of overweight people.,66
299,May 27 2020 06:43 PM,I don't know,25
300,May 27 2020 06:42 PM,any health problems they have is because they are overweight,35
301,May 27 2020 06:42 PM,Lazy - no self control.,64
302,May 27 2020 06:40 PM,They need to lose weight for their own good. We can't hold their hand,55
303,May 27 2020 06:40 PM,American public is very cruel and mean when it comes to overweight people,34
304,May 27 2020 06:38 PM,They don’t.,32
305,May 27 2020 06:36 PM,people view obese persons as ‘less than’ and/or ‘having no self-control’ and/or not intelligent,73
306,May 27 2020 06:35 PM,bad,56
307,May 27 2020 06:35 PM,Disgusting,69
308,May 27 2020 06:34 PM,"More tolerant than in the past, but still biased because of the before and after photos on ads. ",69
309,May 27 2020 06:32 PM,that it is the person's fault,67
310,May 27 2020 06:32 PM,That it is only about self control and not genetics. It seems like it is about both environment and behavior and genetics.,72
311,May 27 2020 06:31 PM,that most obese people are that way by choice.,20
312,May 27 2020 06:31 PM,They body shame,41
313,May 27 2020 06:30 PM,not sure ,36
314,May 27 2020 06:30 PM,I have no comment people should be accepted the way they are,53
315,May 27 2020 06:29 PM,unsure,65
316,May 27 2020 06:27 PM,"That you’re fat and don’t care or that because you don’t look a skinny as they think every single person should be,that even if you’re at a healthy weight for your age and height they think you still need to lose weight to fit their expectations.",32
317,May 27 2020 06:25 PM,They think that over weight women are brave while overweight men are bad and should lose weight. It is very unfair and in most cases weight is something controllable,24
318,May 27 2020 06:24 PM,Very biased against them,25
319,May 27 2020 06:23 PM,they are against fat and the super skinny people,43
320,May 27 2020 06:20 PM,not sure,50
321,May 27 2020 06:20 PM,That with proper diet and exercise a desirable weight can be attained and maintained,63
322,May 27 2020 06:19 PM,Wasting their life and not trying to control their weight,22
323,May 27 2020 06:19 PM,"The advertising is to eat, enjoy, you deserve this food or drink etc.   The restaurants that advertise on television are serving unhealthy food choices full of unhealthy fats,high sodium, chemical, processed, high sugar...yet the pressure from media is to be thin and perky and perfect and under 30.  ",51
324,May 27 2020 06:19 PM,Actually a lot less than when I was a young adult!,69
325,May 27 2020 06:17 PM,"Lazy, unmotivated, no will power, undisciplined, gross",29
326,May 27 2020 06:16 PM,that they need to get help because obesity can cause health problems.,43
327,May 27 2020 06:16 PM,They frown upon it,46
328,May 27 2020 06:15 PM,"I feel they’re lazy, they feel they don’t have pride in themselves, they feel they don’t take care of themselves, they feel they’re not as attractive as other people. And sometimes getting in the way and keeping it on can be a barrier to not letting that stuff creep in.",58
329,May 27 2020 06:14 PM,that people who are overweight are entirely responsible through their life choices,51
330,May 27 2020 06:14 PM,40% of the American public is obese.  The remainder thinks that that obesity is unhealthy. ,34
331,May 27 2020 06:13 PM,Lazy people.,33
332,May 27 2020 06:13 PM,Lazy and or a glutten,44
333,May 27 2020 06:12 PM,That they are lazy,31
334,May 27 2020 06:09 PM,That they eat too much and it’s their own fault for being obese.,36
335,May 27 2020 06:07 PM,We are obsessed with LOOKS! I think people can be cruel and make fun of a person who has a weight problem.,37
336,May 27 2020 06:07 PM,They think people with obesity are lazy and weak-willed.,57
337,May 27 2020 06:07 PM,"It’s acceptable. Many people across the country are obese, and don’t do anything about it.",37
338,May 27 2020 06:05 PM,They put down people who are extremely overweight/obese.,42
339,May 27 2020 06:05 PM,It’s a public health crisis.,73
340,May 27 2020 06:04 PM,They judge them.,70
341,May 27 2020 06:03 PM,That they are overweight and it’s not good,68
342,May 27 2020 06:02 PM,That they are lazy,49
343,May 27 2020 06:00 PM,"Well, taking into account 30% of the country is morbidly obese and another 30% overweight many people hate themselves and at the same time feel pity.  Mostly though I think they are appalled. ",60
344,May 27 2020 06:00 PM,Congratulations,21
345,May 27 2020 05:59 PM,"They think they can’t control their eating, but it is not always caused by that.",38
346,May 27 2020 05:58 PM,X,75
347,May 27 2020 05:58 PM,It’s unhealthy but being’ thick’ is a trend so many think it’s okay,44
348,May 27 2020 05:56 PM,very negatively. lack of control,62
349,May 27 2020 05:55 PM,Not supportive,59
350,May 27 2020 05:53 PM,They are looked at as being week and lazy. No one cares if medications affect body weight or other medical/social issues,26
351,May 27 2020 05:52 PM,They actually provide a ton of support and encore to people with obesity compared to people who are underweight.,60
352,May 27 2020 05:52 PM,Not the correct things,34
353,May 27 2020 05:51 PM,"people eat the wrong food
and don't exercise",48
354,May 27 2020 05:49 PM,disgusted,26
355,May 27 2020 05:49 PM,They think they better than them,66
356,May 27 2020 05:46 PM,"obesity is a problem in the context of health and economic impact on our healthcare system. it is classified as a disease and I think the public makes individual judgements (bias), often stereotyping, with limited knowledge.",32
357,May 27 2020 05:46 PM,not good things,18
358,May 27 2020 05:46 PM,They look down upon people who are obese,34
359,May 27 2020 05:46 PM,That they don't want to be thinner  bad enough. ,61
360,May 27 2020 05:46 PM,Looks down at them,21
361,May 27 2020 05:44 PM,Not much because there are so many with the problem. ,50
362,May 27 2020 05:42 PM,"They feel people are just lazy.  When some people, like me, had surgeries that led to weight gain and made it hard to lose it.",42
363,May 27 2020 05:42 PM,As more of the American public becomes obese there is naturally a greater understanding or acceptance of it.On the other hand obese people are generally discriminated against.,31
364,May 27 2020 05:41 PM,That it is all their fault and no self discipline,20
365,May 27 2020 05:41 PM,"Lazy, slovenly, underachiever, less educated and/or intuitive",26
366,May 27 2020 05:41 PM,I think there is a general feeling of hopelessness towards the issue. I see a lot of people being treated negatively due to their weight. But obesity is also fairly prevalent in the US and I do not see many people talking about how to solve it.,51
367,May 27 2020 05:40 PM,"society thinks overweight people are lazy, gross, sad, ugly",32
368,May 27 2020 05:40 PM,That they are lazy,69
369,May 27 2020 05:40 PM,N/a,42
370,May 27 2020 05:37 PM,no,48
